|Complication|Type|Base Description|Mild|Strong|Severe|Extreme
|Absent Minded|PSYCHOLOGICAL|You have strange lapses of memory You often: |forget generally known facts.|forget friends and family.|forget your own identity.
|Bipolar|PSYCHOLOGICAL|You are a classic manic/depressive, prone to fits of erratic, up moods punctuated with severe terrifying depressions. You are often |moody.|liable to lie around and mope.|Liable to run around frenetically risking life and limb or sink into a miserable stupor.|suicidal.
|Delusions|PSYCHOLOGICAL|You believe things that are not real. You may hear voices, think aliens are after you, or that you are God. You will |risk ostracism, embarrassment.|risk hospitalization, bodily harm or financial/social ruin.|risk life and limb.
|Masochist|PSYCHOLOGICAL|You hate yourself, and will go out of your way to injure youself. To do this, you may: |seek verbal abuse.|seek minor physical abuse.|seek major physical abuse|seek life threatening abuse.
|Phobia|PSYCHOLOGICAL|You have a phobia; and unreasoning fear of some common thing, such as dogs, heights, sounds or color. When faced with your phobia, you feel: |discomfort.|paralysing fear.|berserk terror.|catatonic.
|Paranoia|PSYCHOLOGICAL|(just because you think they're after you...). You think you have enemies, everywhere. Sometimes you are focused on one foe, other times, there may be legions. You react to your paranoia by: |incoherently ranting.|compulsively working on defenses against them.|risking incarceration, bodily harm, social or financial ruin to stop them.|risking life & limb.
|Split Personality|PSYCHOLOGICAL|You're two, two, TWO people in one! [Referee controls this personality, has stat sheet for it, etc.]. Your other self: |likes you.|is neutral to you|hostile to you.|dangerous to you in actions or deeds.
|Airhead|PERSONALITY|Ow wow! you're just naturally spacy. In general, you: |misplace minor, trivial things.|misplace or forget to do important things.|misplace or forget to deal with dangerous things.|dangerously oblivious to everything; the Referee never asks you to make a perception roll unless you request it.
|Bad Tempered|PERSONALITY|You're just irritable, all the time. When your temper flares: |You'll risk embarrasment, or financial loss.|you'll risk incarceration, bodily harm or financial/social ruin.|you'll risk life and limb.
|Coward|PERSONALITY|You lack nerve, especially in combat. When faced with danger: |you tremble at anything you imagine as danger.|you freeze up and can't react.|you try to run away as far as possible.
|Obsessed|PERSONALITY|You can't get that special (to you) person or thing out of your mind. You: |talk about it all the time and will risk embarrassment, or financial loss over it.|you'll risk incarceration, bodily harm or financial/social ruin over it.|you'll risk life & limb over it.
|Shy|PERSONALITY|You hate dealing with others. You: |refuse to speak to new people.|avoid all interactions with new people.|will physically remove self from situations involving new people.
|Stubborn|PERSONALITY|You just hate to give in to anyone. To prove you're right: |You'll risk embarrassment, or financial loss.|you'll risk incarceration, boldy harm or financial/social ruin.|you'll risk life & limb.
|Berserker|PERSONALITY|You can't control your fighting rage - you rabidly: |attack whatever set you off.|attack anyone in range except friends.|attack anyone in range.|attack anyone in range and won't stop until forcibly subdued.
|Unlucky|PERSONALITY|Things never go your way; you have constant disasters. Travel and adventure only hold for you: |inconvenient misfortunes.|costly or dangerous misfortunes.|very costly or dangerous misfortunes.|deadly, life threatening dangers.
|Age|PHYSIOLOGICAL|You are either younger than usual or older; this is reflected in your stats: |very older/younger: Reduce all stats except Mental Group by 1.|very old/young: Reduce all stats except Mental Group by 2.|Extremely old: Reduce all stats except Mental Group by 3.
|Dyslexia|PHYSIOLOGICAL|You see letters and numbers as a jumble, or reversed. This means you: |read very slowly.|cannot read or write.
|Epilepsy|PHYSIOLOGICAL|You fall into convulsive fits that incapacitate you. What sets off the fit (as determined by the Referee) is: |uncommon.|common.|very common.
|Missing limb|PHYSIOLOGICAL|Ouch! that hurt! You're missing: 1 or more fingers.|a hand.|an arm.
|Reduced hearing|PHYSIOLOGICAL|You are hard of hearing. Generally to make a hearing-based Perception check, you will need: |to beat a Target Number 4 points higher than everyone else's.|a hearing aid just to hear at all.|new ears. You're totally deaf.
|Reduced mobility|PHYSIOLOGICAL|You are unable to get around normally. Your Movement:|is reduced by quarter.|is reduced by half.|is reduced to dragging by arms at a MOVE of 1.|nonexistent; you’re a total quadriplegic; unable to move below the neck.
|Reduced sight|PHYSIOLOGICAL|Your eyesight is impaired in some way.You are: |color blind.|in need of glasses.|are nearly blind or one-eyed|are totally blind.
|Uncontrollable change|PHYSIOLOGICAL|You are prone to uncontrollable changes. These may be physical or mental (depending on what you negotiate with the Referee of your game). What sets off the change is: |uncommon.|common.|very common.
|Vocal impairment|PHYSIOLOGICAL|Your voice is somehow damaged. When you speak, you can: |only whisper, stammer or stutter.|only make sounds, but cannot speak.|cannot make a sound.
|Vulnerability|PHYSIOLOGICAL|You're susceptable to a certain situation or substance and take extra damage when exposed to it. The substance or situation is: |uncommon.|common.|very common.
|Susceptability|PHYSIOLOGICAL|You are harmed or take damage from a certain situation or substance that is harmless to most people. The substance or situation is: |uncommon.|common.|very common.
|Public Figure|SOCIAL|You are a figure in the media limelight; you can't make a move without getting attention. |You are newsworthy and your activities rate an article if a reporter is nearby.|You frequently make headlines and people always notice your actions on the street.|Your every action makes news and you have reporters following you everywhere
|Bad Rep.|SOCIAL|People "know" about you. At least, everyone's heard a story or two, even if untrue. When you are mentioned or seen, you are: |frequently recognized.|always recognized.
|Secret Identity|SOCIAL|You are trying to hide your activites under a secret identity or other smoke screen. You currently are: |living a normal life, unnoticed by anyone.|are bothered by a single person trying to uncover your real identity.|everyone’s trying to uncover your real identity.
|Poverty|SOCIAL|Money is hard to come by for you, harder than for most. You are, financially-wise: |poor, with just enough for a bed and a few meager meals.|dead Broke and probably on the street with barely enough to eat.|in debt, with others actively seeking to collect what little you have.
|Personal Habits|SOCIAL|People just can’t stand you. Maybe it’s the bad breath or the nose picking, but they find you: |annoying.|disgusting.|horrible.
|Oppressed|SOCIAL|You are part of an oppressed or otherwise downtrodden group. In your society, you are |snubbed; others ignore or refuse to deal with you.|oppressed; there are laws controlling where you live, work or can travel.|outcast; you’re a total non-person.|enslaved; you’re treated as property and can be sold or mistreated at will.
|Distinctive|SOCIAL|You stand out and are noticed in any crowd, with features that are: |easily concealed.|concealable with Disguise or Performance skills.|not concealable.
|Outsider|SOCIAL|You’re not a local, and stand out like a sore thumb, attracting attention both unwelcome and possibly dangerous. You are obviously: |from a distant place.|from a very distant place.|never before seen in these parts.
|Capabilities|ENEMY|What can they do to you? |Less powerful than you.|As powerful as you?.|More powerful than you.|Have access to powerful weapons, powers or hardware.
|Extent|ENEMY|How far can they reach? |Limited to single town or area.|Limited to a single country.|Worldwide in their influence.
|Intensity|ENEMY|What do they want from you? |You are being watched.|You are being hunted for capture or imprisonment.|You are marked for death.
|Code of Honor|RESPONSIBILITIES|These are the personal rules you will not break, no matter what. A Code of Honor might be a code against killing, never attacking from behind, or never suffering an insult without an answer in blood. To keep your Code, you will: |risk expulsion or embarrassment.|risk bodily harm or financial ruin.|risk life & limb.
|Sense of Duty|RESPONSIBILITIES|You always do the Right Thing, and follow a higher Moral Code towards those you feel responsible for. You will do this: |for your friends.|for a special group/organization.|for all Humanity.|for all Life Itself.
|Vow|RESPONSIBILITIES|This is a promise you must keep, no matter what. It could be to protect someone, follow an ideal, or just get that stupid Ring into that distant volcano. To fulfill this promise, you’ll: |risk expulsion or embarrassment.|risk bodily harm or financial ruin.|risk life & limb.
|Dependents|RESPONSIBILITIES|These are those who need your protection and help. They could include children, family, or friends. Generally, they are: |equal to you in abilities.|challenged, or otherwise weaker than you.|have special problems, requirements or dangers associated with them.
|Addiction|BEHAVIORS|You must have a particular substance or situation or you will suffer severe mental or physical duress. The substance/situation you need is: |common.|uncommon.|rare.|very rare.
|Honesty|BEHAVIORS|You always tell the truth, even if it hurts. To be honest, you’ll even: |risk expulsion, embarrassment, or financial loss.|risk bodily harm or financial/social ruin.|risk life & limb.
|Impulsiveness|BEHAVIORS|You just can’t help yourself; you always jump into things without thinking. To follow a whim, you’ll: |risk expulsion or embarrassment.|risk bodily harm, social or financial ruin.|risk life & limb.
|Intolerance|BEHAVIORS|You’re bigoted and intolerant of those who are different from you. When you encounter them, you are: |civil but distant.|rude and verbally abusive.|violently abusive.|abusive even at risk of life and limb.
|Jealousy|BEHAVIORS|You are jealous in the extreme. Towards the one you “love”, you are: |obsessed and watchful.|confrontative and accusatory.|physically violent.
|Kleptomania|BEHAVIORS|You steal things continuously. You can’t help it; you’ll even: |risk arrest or embarrassment.|risk bodily harm or financial/social ruin.|risk life & limb.
|Lecherous|BEHAVIORS|You can’t resist grabbing or pawing someone you find attractive, or at least making lewd comments. You’ll even: |risk expulsion, embarrassment, or financial loss.|risk bodily harm or financial or social ruin.|risk life & limb.
