|Talent|Description
|Acute Senses|One of your five senses (sight, sound, smell, touch, taste) is extremely actue.  When using this specified sense, you will have a +3 bonus to Perception rolls for each level chosen.
|Ambidexterity|You can use tools and weapons with either hand at no penalty (normally -3 for using off-hand).
|Animal Empathy|Animals like you; they will never harm or attack you unless severely provoked. You always seem to attract whatever animals are common to the area, and they will immediately gravitate to your side, although they may not necessarily do what you ask them to.
|Blind Reaction|You can counterattack (in hand to hand only) with no negative modifiers for darkness or being obscured (-4), even if you can't see or hear your opponent.
|Combat Sense|Your reflexes are keyed for danger; you automatically react faster to danger than anyone else; for every level taken you may add +1 to your Initiative rolls (in combat only). 
|Common Sense|You always look before you leap; the GM must give you warning whenever you’re about to do something particularly foolish, even if there are no perceptible clues present. He doesn’t have to specify the danger, just that "this might not be a smart idea..."
|Direction Sense|You are never lost, always know where North is and can orient yourself easily without any external cues.
|Double-Jointed|You can bend your limbs and joints in impossible ways. You can fit into any space equal to half your height and width and it is impossible to tie you up or entangle you with a single rope; you can only be restrained using restraints like cuffs, shackles, or nets.
|Eidetic Memory|You never forget anything you have read, seen, heard, smelled, or touched.
|High pain threshold|You are especially resistant to pain and shock.  When wounded, you will reduce the amount of STUN taken by 2 points for every level.
|Immunity|You are immune to the effects of one specific poison or disease group (must specify).
|Intuition|You have an uncanny feel for hunches; the GM will give you a chance to make a Perception roll whenever he thinks you might get a hunch, even if there are no perceptible clues present.
|Knack|You have a natural knack or "gift" for performing certain kinds of tasks or activities (this could be Driving, Piloting, Firearms, or other skills, or even interpersonal abilities; you must choose one).  This Knack gives you a bonus of +1 for every level taken.
|Lightning Calculator|You can automatically do complex mathematical operations in your head without using any aids.
|Light Sleeper|You wake instantly from even the lightest touch or smallest sound (no Perception check required).
|Longevity|You are extremely long lived, but do not show any appreciable signs of aging. No matter how old you are, you always look and feel as a person half your age.
|Martial Artist|You have had training in a specialized Martial Art, allowing you to use Martial Arts techniques like Martial Throw and Martial Strike, as well as build a Martial Arts style of combat with new techniques.
|Night Vision|You can see in all but absolute darkness.
|Perfect Pitch|You always know if something's in tune, and automatically gain at +3 bonus in any musically related task (singing, playing instruments, etc).
|Rapid Healing|You heal extremely fast, recovering an extra 3 Hits per time unit in addition to your normal healing rate.
|Simulate Death|You can lower your heart rate and breathing to such a low level that it is a Legendary Difficulty to tell whether you are dead or not.
|Speed Reader|You can read one page of any normal text that you are familiar with in three seconds (you can read a 200 page book in 10 minutes).
|Time Sense|You always know what time it is, always know how much time has elapsed between the present and the last time you checked.
